Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=130/sigma=5.0e-2/create-win,3.9624936376420376e-4,3.9504140355579257e-4,3.973977167766838e-4,3.469680343753022e-6,2.7769777984453373e-6,4.204736704000571e-6
npv/non-persistent-vote/n2=130/sigma=5.0e-2/verify,1.6641968592143997e-3,1.6607853756234324e-3,1.6673042324389445e-3,1.0963150969227316e-5,7.906840883801387e-6,1.7346072123339933e-5
npv/non-persistent-vote/n2=130/sigma=5.0e-2/sortition-check,8.518744689245167e-6,8.500414427858621e-6,8.540186636093095e-6,4.2888371157161804e-8,3.3297149094103363e-8,6.155915952319736e-8
npv/non-persistent-vote/n2=130/sigma=0.1/create-win,4.0128696942606237e-4,3.996701283935972e-4,4.0359505014987115e-4,5.545722164087037e-6,3.5580023831901715e-6,8.21357843316708e-6
npv/non-persistent-vote/n2=130/sigma=0.1/verify,1.6694340570051255e-3,1.6655730824073275e-3,1.6721827322442235e-3,1.0232521696096912e-5,8.033049900334152e-6,1.499587203081555e-5
npv/non-persistent-vote/n2=130/sigma=0.1/sortition-check,1.3998079258660277e-5,1.3860404159940738e-5,1.4147831947100727e-5,3.211373922693189e-7,2.7022386167009806e-7,3.808033392432731e-7
npv/non-persistent-vote/n2=130/sigma=0.25/create-win,4.328223236644325e-4,4.323698167765123e-4,4.33567790465733e-4,1.7373474551801272e-6,1.0287967888285968e-6,2.9265302442280605e-6
npv/non-persistent-vote/n2=130/sigma=0.25/verify,1.7355162976547274e-3,1.7322190228004342e-3,1.7406127691903706e-3,1.2849230566049146e-5,8.416539765269273e-6,1.7814730103281515e-5
npv/non-persistent-vote/n2=130/sigma=0.25/sortition-check,2.9823013642386956e-5,2.9772393114813938e-5,2.986728589818835e-5,1.030639678824031e-7,7.297294277618568e-8,1.59184547571173e-7
npv/non-persistent-vote/n2=130/sigma=0.5/create-win,4.5783813340662073e-4,4.5713019183241213e-4,4.583867543925375e-4,1.8033982000216218e-6,1.3055232777035497e-6,2.9330788355956966e-6
npv/non-persistent-vote/n2=130/sigma=0.5/verify,1.7445257757592984e-3,1.7427777343521523e-3,1.746208222083015e-3,5.688021393338338e-6,4.355371888189748e-6,7.824517674440405e-6
npv/non-persistent-vote/n2=130/sigma=0.5/sortition-check,5.609471631547132e-5,5.601272669091912e-5,5.619281433495828e-5,1.9431709723694025e-7,1.3495917179564758e-7,3.017169806320167e-7
npv/non-persistent-vote/n2=150/sigma=5.0e-3/create-win,4.048511806727707e-4,4.042633085872916e-4,4.053067218432338e-4,1.2701973674689452e-6,8.993950246485097e-7,1.937838902318969e-6
npv/non-persistent-vote/n2=150/sigma=5.0e-3/create-lose,2.7610229979847437e-4,2.7576981822863175e-4,2.7646734749865937e-4,7.033197308604083e-7,5.318599423071153e-7,9.481409359016599e-7
npv/non-persistent-vote/n2=150/sigma=5.0e-3/verify,1.6880195351700624e-3,1.6863147334925572e-3,1.6894117190854186e-3,4.9227881350185555e-6,3.912112897826996e-6,6.483481385149516e-6
npv/non-persistent-vote/n2=150/sigma=5.0e-3/sortition-check,5.13471737745333e-6,5.046989868796065e-6,5.1837359923491005e-6,1.3987801132520222e-7,8.489872307829565e-8,1.7948001881462775e-7
npv/non-persistent-vote/n2=150/sigma=1.0e-2/create-win,4.032362519619989e-4,4.027289283456476e-4,4.037755990833005e-4,1.4044147445079015e-6,1.175208661369099e-6,1.6592681549748683e-6
npv/non-persistent-vote/n2=150/sigma=1.0e-2/create-lose,2.754032769524759e-4,2.747978584055938e-4,2.76042218388832e-4,1.3022083107153188e-6,9.242025209095256e-7,1.8930351654530539e-6
